gene,MTG_beta,MTG_p,DLPFC_beta,DLPFC_p,same_sign
MT2A,-0.0978,0.0159,0.0379,0.0293,FALSE
SLC1A3,-0.0732,0.00985,-0.0284,0.0237,TRUE
PTGDS,-0.0702,0.0242,-0.0389,0.00586,TRUE
MT1X,-0.0667,0.00234,0.0083,0.527,FALSE
AQP4,-0.0583,0.00969,0.0114,0.331,FALSE
GLUL,-0.0463,0.137,-0.0089,0.503,TRUE
SLC1A2,-0.0437,0.249,-0.0191,0.2,TRUE
GAPDH,-0.0362,0.0678,0.027,0.023,FALSE
OSMR,-0.034,0.128,-0.0056,0.59,TRUE
SLC6A11,-0.0292,0.0884,-3e-04,0.972,TRUE
BSG,-0.0234,0.0651,0.0025,0.731,FALSE
PKM,-0.0212,0.0225,0.0022,0.744,FALSE
ATP1A2,-0.0191,0.588,0.0123,0.352,FALSE
CSTB,-0.0189,0.0139,-0.0021,0.566,TRUE
SERPING1,-0.0127,0.0705,-0.0066,0.102,TRUE
LDHA,-0.0119,0.0139,0.0027,0.285,FALSE
HK2,-0.0108,0.0699,6e-04,0.569,FALSE
SLC2A1,-0.0095,0.113,0.0047,0.0366,FALSE
SERPINA3,-0.0074,0.8,-0.0167,0.29,TRUE
SLC16A3,-0.0061,0.0419,-7e-04,0.46,TRUE
GJB6,-0.0061,0.509,0.0037,0.542,FALSE
VIM,-0.0049,0.705,0.0089,0.212,FALSE
CD44,-4e-04,0.993,7e-04,0.962,FALSE
SLC16A1,-3e-04,0.905,-3e-04,0.779,TRUE
S100A10,0.0016,0.616,6e-04,0.547,TRUE
GBP2,0.0054,0.702,-0.0017,0.349,FALSE
C3,0.0087,0.453,0.0039,0.0545,TRUE
GJA1,0.0105,0.693,0.0434,0.0056,TRUE
EMP1,0.0109,0.412,0.0019,0.769,TRUE
HSPB1,0.0196,0.556,0.0078,0.586,TRUE
KCNJ10,0.0323,0.0756,0.0384,5.75e-05,TRUE
GFAP,0.035,0.491,0.0233,0.286,TRUE
