supertype,bin,n_cells,ANLS,MCT4
Astro_1,0.2,369,0.0893378576235181,0.042506392570692
Astro_1,0.3,550,0.0965098412741314,0.044234259778803
Astro_1,0.4,599,0.0964262007373402,0.0586959184310671
Astro_1,0.5,445,0.0851870991763997,0.0276082908839322
Astro_1,0.6,394,0.0793474918064329,0.0221223275219729
Astro_1,0.7,839,0.0906585361519928,0.0219210958878673
Astro_1,0.8,844,0.0770580873811415,0.0218478136153018
Astro_1,0.9,1289,0.0626355261843674,0.0188829297007656
Astro_2,0.2,2397,0.0758532799574185,0.0597000777360843
Astro_2,0.3,5099,0.0934587197741504,0.0710239928244235
Astro_2,0.4,3027,0.0875729713857653,0.078722762321142
Astro_2,0.5,2803,0.0863656662745657,0.0333718706455309
Astro_2,0.6,3596,0.0771692095916272,0.0372136989453014
Astro_2,0.7,8079,0.0794729944663595,0.0436447342535635
Astro_2,0.8,10494,0.072157399551753,0.0318930406675058
Astro_2,0.9,9379,0.0742652679643563,0.0202531935751394
Astro_3,0.2,1314,0.13650908535096,0.0367761791387468
Astro_3,0.3,1120,0.127924206063506,0.0372024744216885
Astro_3,0.4,1163,0.159262786590804,0.0620927697660999
Astro_3,0.5,491,0.121195320684895,0.0183192567402865
Astro_3,0.6,835,0.157248467694737,0.0288864199629801
Astro_3,0.7,1268,0.110371833857145,0.0271818034985464
Astro_3,0.8,1591,0.126825921438836,0.04545874802816
Astro_3,0.9,1527,0.14790347478739,0.0276212455910956
Astro_4,0.2,96,0.092812518382238,0.00792786416908105
Astro_4,0.3,59,0.0589403850210589,0.00996308912665157
Astro_4,0.4,84,0.088794834083981,0.0159815326333046
Astro_4,0.5,19,0.0491549184447841,0.0633441241163957
Astro_4,0.6,71,0.122967870582437,0.0181392473234257
Astro_4,0.7,125,0.0910247267087301,0.0404409742355347
Astro_4,0.8,95,0.0865733531483433,0.039890426083615
Astro_4,0.9,299,0.104561184228729,0.0147360037999807
Astro_5,0.2,430,0.0762473138958909,0.080117593740308
Astro_5,0.3,374,0.0900534463120017,0.0459551113572988
Astro_5,0.4,250,0.0776847976843516,0.074407222867012
Astro_5,0.5,200,0.0937938726196686,0.0490832836925983
Astro_5,0.6,319,0.0850676631043074,0.0123704358888644
Astro_5,0.7,670,0.064792969756162,0.0421348485928863
Astro_5,0.8,704,0.0721970516835537,0.0253572344822301
Astro_5,0.9,639,0.0747056381119125,0.0234877628992794
Astro_6-SEAAD,0.2,181,0.118326053434973,0.116337510268333
Astro_6-SEAAD,0.3,97,0.178526406025968,0.134878017238735
Astro_6-SEAAD,0.4,237,0.110774698681637,0.0882286850661668
Astro_6-SEAAD,0.5,733,0.131477503315217,0.0864930299668488
Astro_6-SEAAD,0.6,111,0.292173898166364,0.0673704790370958
Astro_6-SEAAD,0.7,675,0.137154125446155,0.0555265329060731
Astro_6-SEAAD,0.8,380,0.0967801361491806,0.0636136571043416
Astro_6-SEAAD,0.9,631,0.123974711253916,0.0429310724021138
