block,gene,celltype,det_bin,pct_change,n_null,n_at_or_below,pctl,band_median,reportable,in_null_tail,verdict,ratio_to_MCT4_astro
REFERENCE,SLC16A3,astro,0.06022,-43.2,2027,9,0.00444,-4.11,False,True,below the house reporting floor - null only,1.0
REFERENCE,SLC16A3,exc,0.09079,-36.38,2066,119,0.057599,-7.8,False,False,below the house reporting floor - null only,12.97
S12-B ambient background,P2RY12,astro,0.13417,-38.33,2409,22,0.009132,-2.03,True,True,measurable,2.06
S12-B ambient background,P2RY12,exc,0.13514,-33.32,2208,149,0.067482,-7.11,True,False,measurable,15.2
S12-B ambient background,MOG,astro,0.0206,-2.93,1758,1019,0.579636,-6.48,False,False,below the house reporting floor - null only,130.55
S12-B ambient background,MOG,exc,0.03764,-6.81,2032,1106,0.544291,-8.15,False,False,below the house reporting floor - null only,122.59
S12-B ambient background,C1QA,astro,0.00461,-41.69,1886,70,0.037116,-6.9,False,True,NOT MEASURABLE (below the null floor),8.36
S12-B ambient background,C1QA,exc,0.00596,2.55,1899,1431,0.753555,-8.65,False,False,NOT MEASURABLE (below the null floor),169.72
S12-B ambient background,CX3CR1,astro,0.00533,50.72,1915,1873,0.978068,-7.07,False,False,NOT MEASURABLE (below the null floor),220.28
S12-B ambient background,CX3CR1,exc,0.00663,7.56,1888,1593,0.84375,-8.35,False,False,NOT MEASURABLE (below the null floor),190.03
S12-B ambient background,SNAP25,astro,0.43037,7.6,2172,1901,0.87523,1.28,True,False,measurable,197.12
S12-B ambient background,SNAP25,exc,0.99721,-0.1,2722,1644,0.603968,-0.9,True,False,measurable,136.03
S12-B ambient background,TMEM119,astro,0.00146,-21.75,1765,503,0.284986,-5.17,False,False,NOT MEASURABLE (below the null floor),64.19
S12-B ambient background,TMEM119,exc,0.00207,43.72,1497,1484,0.991316,-8.49,False,False,NOT MEASURABLE (below the null floor),223.27
S12-B ambient background,CSF1R,astro,0.02877,36.16,1904,1873,0.983718,-6.7,False,False,below the house reporting floor - null only,221.56
S12-B ambient background,CSF1R,exc,0.01915,4.83,2007,1682,0.838067,-8.48,False,False,NOT MEASURABLE (below the null floor),188.75
S12-B ambient background,PLP1,astro,0.14566,-3.25,2442,1057,0.432842,-1.9,True,False,measurable,97.49
S12-B ambient background,PLP1,exc,0.25076,-6.81,2493,1097,0.440032,-5.67,True,False,measurable,99.1
S12-B ambient background,MBP,astro,0.12412,2.39,2355,1674,0.710828,-2.32,True,False,measurable,160.09
S12-B ambient background,MBP,exc,0.80135,-0.99,4338,2400,0.55325,-1.44,True,False,measurable,124.6
S12-C astrocyte internal,ALDOA,astro,0.03842,-11.1,1948,687,0.352669,-5.87,False,False,below the house reporting floor - null only,79.43
S12-C astrocyte internal,ALDOA,exc,0.06409,-19.01,1958,463,0.236466,-7.63,False,False,below the house reporting floor - null only,53.26
S12-C astrocyte internal,PKM,astro,0.54813,-9.09,1951,101,0.051768,1.6,True,False,measurable,11.66
S12-C astrocyte internal,PKM,exc,0.81736,-7.49,4205,188,0.044709,-1.39,True,True,measurable,10.07
S12-C astrocyte internal,LDHA,astro,0.123,-20.83,2342,209,0.08924,-2.26,True,False,measurable,20.1
S12-C astrocyte internal,LDHA,exc,0.34405,-15.36,2847,263,0.092378,-4.98,True,False,measurable,20.81
S12-C astrocyte internal,PFKFB3,astro,0.77918,-5.2,1517,80,0.052736,2.15,True,False,measurable,11.88
S12-C astrocyte internal,PFKFB3,exc,0.74893,-7.14,4008,327,0.081587,-1.94,True,False,measurable,18.38
S12-C astrocyte internal,AQP4,astro,0.91493,-5.26,1026,38,0.037037,2.18,True,True,measurable,8.34
S12-C astrocyte internal,AQP4,exc,0.1515,-1.99,2203,1545,0.701316,-6.58,True,False,measurable,157.95
S12-C astrocyte internal,SLC1A3,astro,0.99146,-0.04,763,190,0.249017,2.05,True,False,measurable,56.08
