outcome,mediator,detection,t_cps,window,null_n,pct_mediated,null_median,null_p95,percentile,p_empirical,reverse_pct_mediated,verdict,p_empirical_uncorrected
Neuronal activity genes,SLC16A3,0.0669,5.78,0.3,222,96.4,1.1,55.9,100.0,0.0045,15.0,exceeds its own matched null,0.0
Neuronal activity genes,CP,0.1445,0.42,0.3,224,0.2,0.2,4.6,50.0,0.5022,5.2,does not exceed its own matched null,0.5
Neuronal activity genes,FTH1,0.7373,4.36,0.3,263,-10.0,1.2,39.2,39.2,0.6098,-2.8,does not exceed its own matched null,0.6084
Neuronal activity genes,FTL,0.6102,2.62,0.2,298,14.1,-3.6,31.8,75.8,0.2441,10.7,does not exceed its own matched null,0.2416
Neuronal activity genes,P2RY12,0.1439,4.33,0.2,275,-9.3,-0.8,49.0,40.4,0.5978,-2.6,does not exceed its own matched null,0.5964
Neuronal activity genes,TFRC,0.3088,2.35,0.15,263,56.6,-6.7,26.6,99.6,0.0076,53.4,exceeds its own matched null,0.0038
Neuronal V-ATPase (6 subunits),SLC16A3,0.0669,5.78,0.3,222,123.3,62.8,97.6,99.5,0.009,18.3,exceeds its own matched null,0.0045
Neuronal V-ATPase (6 subunits),CP,0.1445,0.42,0.3,224,-2.1,0.7,7.1,21.9,0.7822,-58.7,does not exceed its own matched null,0.7812
Neuronal V-ATPase (6 subunits),FTH1,0.7373,4.36,0.3,263,54.7,28.3,70.2,83.3,0.1705,14.2,does not exceed its own matched null,0.1673
Neuronal V-ATPase (6 subunits),FTL,0.6102,2.62,0.2,298,51.7,3.5,45.4,97.3,0.0301,37.3,exceeds its own matched null,0.0268
Neuronal V-ATPase (6 subunits),P2RY12,0.1439,4.33,0.2,275,69.2,49.0,103.0,72.4,0.279,18.3,does not exceed its own matched null,0.2764
Neuronal V-ATPase (6 subunits),TFRC,0.3088,2.35,0.15,263,36.2,1.5,35.7,95.1,0.053,32.5,exceeds its own matched null,0.0494
Neuronal LAMP1,SLC16A3,0.0669,5.78,0.3,222,117.1,79.8,111.7,97.7,0.0269,21.4,exceeds its own matched null,0.0225
Neuronal LAMP1,CP,0.1445,0.42,0.3,224,-2.2,0.7,6.3,14.3,0.8578,-76.9,does not exceed its own matched null,0.8571
Neuronal LAMP1,FTH1,0.7373,4.36,0.3,263,54.3,23.2,70.6,82.5,0.178,17.5,does not exceed its own matched null,0.1749
Neuronal LAMP1,FTL,0.6102,2.62,0.2,298,49.7,4.4,39.8,98.0,0.0234,44.4,exceeds its own matched null,0.0201
Neuronal LAMP1,P2RY12,0.1439,4.33,0.2,275,83.5,55.4,101.7,80.7,0.1957,27.3,does not exceed its own matched null,0.1927
Neuronal LAMP1,TFRC,0.3088,2.35,0.15,263,12.9,5.4,32.2,67.7,0.3258,14.3,does not exceed its own matched null,0.3232
