mediator,control,window
SLC16A3,WRAP73,0.3
SLC16A3,AL020995.1,0.3
SLC16A3,ZMYM4-AS1,0.3
SLC16A3,AL138787.2,0.3
SLC16A3,GJA9,0.3
SLC16A3,SLFNL1-AS1,0.3
SLC16A3,AC098484.4,0.3
SLC16A3,KDM4A-AS1,0.3
SLC16A3,AL357079.1,0.3
SLC16A3,AC099788.1,0.3
SLC16A3,AL139294.1,0.3
SLC16A3,PEX11B,0.3
SLC16A3,LINC00624,0.3
SLC16A3,AL450992.2,0.3
SLC16A3,CCDC181,0.3
SLC16A3,AL139142.1,0.3
SLC16A3,PTPN7,0.3
SLC16A3,ID2-AS1,0.3
SLC16A3,RMDN2-AS1,0.3
SLC16A3,AC068725.1,0.3
SLC16A3,AC007682.1,0.3
SLC16A3,AC018462.1,0.3
SLC16A3,AC092567.1,0.3
SLC16A3,AC009501.3,0.3
SLC16A3,AC007389.3,0.3
SLC16A3,RETSAT,0.3
SLC16A3,AC015971.1,0.3
SLC16A3,MTLN,0.3
SLC16A3,NCKAP5-AS2,0.3
SLC16A3,LINC01931,0.3
SLC16A3,AC078883.1,0.3
SLC16A3,AC010894.3,0.3
SLC16A3,EEF1B2,0.3
SLC16A3,MDH1B,0.3
SLC16A3,AC009950.1,0.3
SLC16A3,SP140,0.3
SLC16A3,AC019130.1,0.3
SLC16A3,CHL1-AS1,0.3
SLC16A3,AC018832.1,0.3
SLC16A3,MKRN2OS,0.3
SLC16A3,MYL3,0.3
SLC16A3,CADM2-AS1,0.3
SLC16A3,CCDC80,0.3
SLC16A3,ZBTB20-AS2,0.3
SLC16A3,ARHGAP31-AS1,0.3
SLC16A3,ITGB5-AS1,0.3
SLC16A3,AC055733.2,0.3
SLC16A3,ACKR4,0.3
SLC16A3,RBP2,0.3
SLC16A3,RNF7,0.3
SLC16A3,AC092574.2,0.3
SLC16A3,LINC00504,0.3
SLC16A3,AC107068.2,0.3
SLC16A3,TMPRSS11D,0.3
SLC16A3,AC034139.1,0.3
SLC16A3,HERC5,0.3
SLC16A3,PYURF,0.3
SLC16A3,AC018797.3,0.3
SLC16A3,HHIP,0.3
SLC16A3,AC069272.1,0.3
SLC16A3,AC099343.4,0.3
SLC16A3,AC025178.1,0.3
SLC16A3,AC026704.1,0.3
SLC16A3,VCAN-AS1,0.3
SLC16A3,STARD4-AS1,0.3
SLC16A3,TH2LCRR,0.3
SLC16A3,AL031768.2,0.3
SLC16A3,AL513188.1,0.3
SLC16A3,HCG25,0.3
SLC16A3,AL590999.1,0.3
SLC16A3,MRPL2,0.3
SLC16A3,COL10A1,0.3
SLC16A3,AL024508.1,0.3
SLC16A3,IL20RA,0.3
SLC16A3,AL078581.4,0.3
SLC16A3,AL138733.1,0.3
SLC16A3,SYTL3,0.3
SLC16A3,MRPL32,0.3
SLC16A3,AC068533.3,0.3
SLC16A3,SPDYE21P,0.3
SLC16A3,SPDYE5,0.3
SLC16A3,CYP3A5,0.3
SLC16A3,DOCK4-AS1,0.3
SLC16A3,AC078842.2,0.3
SLC16A3,AC073342.1,0.3
SLC16A3,AC090541.1,0.3
SLC16A3,AC011853.2,0.3
SLC16A3,HEY1,0.3
SLC16A3,AC104316.1,0.3
SLC16A3,ZNF517,0.3
SLC16A3,C8orf33,0.3
SLC16A3,LINC01241,0.3
SLC16A3,CNTFR-AS1,0.3
SLC16A3,MAMDC2,0.3
SLC16A3,LINC02603,0.3
SLC16A3,AL162394.1,0.3
SLC16A3,AL807761.4,0.3
SLC16A3,ASTN2-AS1,0.3
SLC16A3,AL354754.1,0.3
SLC16A3,AL157938.3,0.3
SLC16A3,AL365356.1,0.3
SLC16A3,LINC00707,0.3
SLC16A3,COMMD3,0.3
SLC16A3,AL391839.1,0.3
SLC16A3,NUDT13,0.3
SLC16A3,SYNPO2L,0.3
SLC16A3,AL359094.1,0.3
SLC16A3,CNGA4,0.3
SLC16A3,TIMM10B,0.3
SLC16A3,AC026894.1,0.3
SLC16A3,AC011092.3,0.3
SLC16A3,AL133330.2,0.3
SLC16A3,AC087521.2,0.3
SLC16A3,AC127035.1,0.3
SLC16A3,AC090559.1,0.3
SLC16A3,AP000442.1,0.3
SLC16A3,AP003108.1,0.3
SLC16A3,YIF1A,0.3
SLC16A3,AP002748.6,0.3
SLC16A3,P4HA3,0.3
SLC16A3,AQP11,0.3
SLC16A3,AP001767.3,0.3
SLC16A3,AP002370.2,0.3
SLC16A3,AP002518.2,0.3
SLC16A3,APOA1-AS,0.3
SLC16A3,SRPRA,0.3
SLC16A3,AP000844.2,0.3
SLC16A3,PZP,0.3
SLC16A3,AC022509.2,0.3
SLC16A3,AC009318.1,0.3
SLC16A3,CCDC65,0.3
SLC16A3,AC009779.2,0.3
SLC16A3,TSFM,0.3
SLC16A3,AC073571.1,0.3
SLC16A3,AC078955.1,0.3
SLC16A3,DEPDC4,0.3
SLC16A3,NT5DC3,0.3
SLC16A3,WASF3-AS1,0.3
SLC16A3,LPAR6,0.3
SLC16A3,PCDH9-AS1,0.3
SLC16A3,AL161430.1,0.3
SLC16A3,RNF212B,0.3
SLC16A3,G2E3-AS1,0.3
SLC16A3,AL139353.2,0.3
SLC16A3,AL358334.4,0.3
SLC16A3,FRMD6-AS2,0.3
SLC16A3,WDHD1,0.3
SLC16A3,AL139021.1,0.3
SLC16A3,AL359317.2,0.3
SLC16A3,ACOT2,0.3
SLC16A3,AF107885.2,0.3
SLC16A3,CHRM5,0.3
SLC16A3,OIP5,0.3
SLC16A3,AC025043.1,0.3
SLC16A3,DUOX1,0.3
SLC16A3,SLC28A2,0.3
SLC16A3,AC020892.2,0.3
SLC16A3,MNS1,0.3
SLC16A3,AC073167.1,0.3
SLC16A3,AC100830.1,0.3
SLC16A3,SLC24A1,0.3
SLC16A3,AC022872.1,0.3
SLC16A3,AC027243.3,0.3
SLC16A3,FSD2,0.3
SLC16A3,AC103876.1,0.3
SLC16A3,AL023882.1,0.3
SLC16A3,ZSCAN32,0.3
SLC16A3,AC093249.2,0.3
SLC16A3,CTF1,0.3
SLC16A3,AC007495.1,0.3
SLC16A3,AC018557.3,0.3
SLC16A3,CES4A,0.3
SLC16A3,DHODH,0.3
SLC16A3,AC015853.3,0.3
SLC16A3,AC024619.3,0.3
SLC16A3,AC004253.1,0.3
SLC16A3,AC005899.8,0.3
SLC16A3,AC015849.3,0.3
SLC16A3,AC015923.1,0.3
SLC16A3,AC011933.4,0.3
SLC16A3,AP000919.2,0.3
SLC16A3,AP005329.2,0.3
SLC16A3,AC016493.1,0.3
SLC16A3,AC012254.1,0.3
SLC16A3,MYO5B,0.3
SLC16A3,TCF4-AS1,0.3
SLC16A3,AC011444.2,0.3
SLC16A3,AC119396.1,0.3
SLC16A3,ZNF20,0.3
SLC16A3,CYP4F3,0.3
SLC16A3,CYP4F12,0.3
SLC16A3,AC011477.9,0.3
SLC16A3,WDR88,0.3
SLC16A3,THAP8,0.3
SLC16A3,POLR2I,0.3
SLC16A3,ZNF829,0.3
SLC16A3,LIPE,0.3
SLC16A3,CEACAM1,0.3
SLC16A3,BICRA-AS1,0.3
SLC16A3,AKT1S1,0.3
SLC16A3,LENG9,0.3
SLC16A3,EDDM13,0.3
SLC16A3,AC006116.8,0.3
SLC16A3,UBOX5-AS1,0.3
SLC16A3,LINC00658,0.3
SLC16A3,OVOL2,0.3
SLC16A3,AL049646.1,0.3
SLC16A3,KIZ-AS1,0.3
SLC16A3,AL117381.1,0.3
SLC16A3,TP53RK,0.3
SLC16A3,APCDD1L-DT,0.3
SLC16A3,FP236383.3,0.3
SLC16A3,AP000962.1,0.3
SLC16A3,AC007666.1,0.3
SLC16A3,DDT,0.3
SLC16A3,AL021393.1,0.3
SLC16A3,RASL10A,0.3
SLC16A3,Z82217.1,0.3
SLC16A3,ADGRG2,0.3
SLC16A3,AC131011.1,0.3
SLC16A3,SATL1,0.3
SLC16A3,AL035427.1,0.3
CP,SSU72,0.3
CP,NBPF3,0.3
CP,PAFAH2,0.3
CP,TMEM222,0.3
CP,FAM76A,0.3
CP,PPP1R8,0.3
CP,MECR,0.3
CP,SLC2A1,0.3
CP,TCEANC2,0.3
CP,DNAJB4,0.3
CP,GNG5,0.3
CP,LRRC8C-DT,0.3
CP,GSTM4,0.3
CP,GSTM5,0.3
CP,RBM15,0.3
CP,GOLPH3L,0.3
CP,SLC27A3,0.3
CP,PMF1,0.3
CP,NCSTN,0.3
CP,ALDH9A1,0.3
CP,SFT2D2,0.3
CP,ARL8A,0.3
CP,PPFIA4,0.3
CP,ELK4,0.3
CP,SPATA17,0.3
CP,AIDA,0.3
CP,COQ8A,0.3
CP,TAF5L,0.3
CP,SLC35F3,0.3
CP,MEMO1,0.3
CP,STPG4,0.3
CP,PCBP1,0.3
CP,LOXL3,0.3
CP,CNNM3,0.3
CP,AC011997.1,0.3
CP,SLC4A3,0.3
CP,ATG16L1,0.3
CP,EDEM1,0.3
CP,PLCL2,0.3
CP,AC104162.2,0.3
CP,NFKBIZ,0.3
CP,AC026341.1,0.3
CP,AC092910.3,0.3
CP,TPRA1,0.3
CP,LINC02021,0.3
CP,LINC00884,0.3
