block,gene,celltype,det_bin,pct_change,n_null,pctl,band_median,reportable,in_null_tail,prereg,verdict,ratio_to_MCT4
S12-G specificity contrast,FTH1,astro,0.735964532549148,-19.2095981844449,1598,0.0012515644555694619,2.138768567349535,True,True,,measurable,0.2818801279376999
S12-G specificity contrast,CP,astro,0.132614828857608,-44.6845507839688,2378,0.0021026072329688814,-2.064513766378305,True,True,,measurable,0.4735538734697692
REFERENCE,SLC16A3,astro,0.0602170440805481,-43.1952363233837,2027,0.004440059200789344,-4.10755565360631,False,True,,below the house reporting floor - null only,1.0
S12-E control transporters,SLC16A3,astro,0.0602170440805481,-43.1952363233837,2027,0.004440059200789344,-4.10755565360631,False,True,,below the house reporting floor - null only,1.0
S12-B ambient background,P2RY12,astro,0.134167276201281,-38.3314534672261,2409,0.0091324200913242,-2.02755188270828,True,True,,measurable,2.056823947234906
S12-G specificity contrast,FTL,astro,0.605976922273141,-15.7832921531029,1877,0.012786361214704315,1.80401297687132,True,True,,measurable,2.879772686911738
S12-C astrocyte internal,AQP4,astro,0.914928871042379,-5.25548306336306,1026,0.037037037037037035,2.178854572090925,True,True,,measurable,8.34156378600823
S12-B ambient background,C1QA,astro,0.0046125598961054,-41.6893779033281,1886,0.03711558854718982,-6.8965971739787655,False,True,,NOT MEASURABLE (below the null floor),8.359255331683752
S12-C astrocyte internal,PKM,astro,0.548133331343016,-9.09171558730663,1951,0.05176832393644285,1.60328792499691,True,False,,measurable,11.659376957685517
S12-C astrocyte internal,PFKFB3,astro,0.779179292740816,-5.19582061587613,1517,0.05273566249176005,2.14760663564886,True,False,,measurable,11.877243096755292
S12-C astrocyte internal,LDHA,astro,0.123001597229479,-20.8341985911208,2342,0.0892399658411614,-2.25571629650352,True,False,,measurable,20.09882341778157
S12-G specificity contrast,TFRC,astro,0.302831723664373,-11.4782274231058,2555,0.09354207436399217,-0.0073662576940081,True,False,,measurable,21.06775385953468
S12-F channel route,PANX2,astro,0.0626651341224941,-16.4428712209457,2029,0.17545588960078856,-3.88563745502397,False,False,,below the house reporting floor - null only,39.51656535786649
S12-E control transporters,SLC16A7,astro,0.0928930751892045,-12.1337793610807,2242,0.2096342551293488,-2.914716039327865,False,False,,below the house reporting floor - null only,47.21429279413222
S12-E control transporters,SLC16A1,astro,0.0812347927333522,-11.125574633915,2167,0.24319335486848176,-3.17833829227358,False,False,,below the house reporting floor - null only,54.77254781315695
S12-C astrocyte internal,SLC1A3,astro,0.991461539609798,-0.037546770891872,763,0.2490170380078637,2.05036254986806,True,False,,measurable,56.08417067132663
S12-B ambient background,TMEM119,astro,0.0014628830738457,-21.7522742382454,1765,0.284985835694051,-5.170722555126,False,False,,NOT MEASURABLE (below the null floor),64.18514321687127
S12-E control transporters,SLC16A8,astro,0.0019853413145049,-21.8302065567493,1779,0.3041034288926363,-7.60542136047916,False,False,,NOT MEASURABLE (below the null floor),68.49085004059708
S12-C astrocyte internal,ALDOA,astro,0.0384230717559075,-11.0978656647216,1948,0.3526694045174538,-5.87261845642444,False,False,,below the house reporting floor - null only,79.42898699520876
S12-B ambient background,PLP1,astro,0.145661357495783,-3.24767085925628,2442,0.43284193284193284,-1.90280627781353,True,False,,measurable,97.48562198562198
S12-B ambient background,MOG,astro,0.0205997820602768,-2.93448507999504,1758,0.5796359499431172,-6.4816276460758555,False,False,,below the house reporting floor - null only,130.54689672607762
S12-G specificity contrast,SLC40A1,astro,0.0382887253511666,-2.99561798899096,1951,0.5873910814966684,-5.90303160512294,False,False,,below the house reporting floor - null only,132.29352468819408
S12-F channel route,CALHM1,astro,0.00049260348405,13.5888501655673,1300,0.6330769230769231,-5.674236476546925,False,False,,NOT MEASURABLE (below the null floor),142.58299145299145
S12-F channel route,PANX1,astro,0.0298099744741831,0.0302218437109536,1900,0.6752631578947368,-6.72848276815898,False,False,,below the house reporting floor - null only,152.08426900584794
S12-B ambient background,MBP,astro,0.12412115060232,2.38580232646004,2355,0.710828025477707,-2.31581373073091,True,False,,measurable,160.09426751592355
S12-C astrocyte internal,SLC1A2,astro,0.990356913615262,5.0869586067932,768,0.8111979166666666,2.052573313330255,True,False,,measurable,182.6997974537037
S12-F channel route,BEST1,astro,0.122165664044424,6.10833713432968,2344,0.8348976109215017,-2.298349495023455,True,False,,measurable,188.03749525976488
S12-F channel route,LRRC8A,astro,0.523950978489648,7.37808024590316,2003,0.8602096854717923,1.61977101592525,True,False,,measurable,193.7383369390359
S12-B ambient background,SNAP25,astro,0.430371243898434,7.59562490906609,2172,0.8752302025782689,1.275319364462315,True,False,,measurable,197.12129118068344
S12-C astrocyte internal,GJA1,astro,0.842411667238883,7.59347906658103,1311,0.9023646071700991,2.05623025457424,True,False,DIRECTION KNOWN BEFORE THE PANEL WAS FIXED,measurable,203.2325620815323
S12-F channel route,GJA1,astro,0.842411667238883,7.59347906658103,1311,0.9023646071700991,2.05623025457424,True,False,DIRECTION KNOWN BEFORE THE PANEL WAS FIXED,measurable,203.2325620815323
S12-F channel route,GJB6,astro,0.317311280619785,11.6776434213081,2501,0.9460215913634547,0.0977536961752623,True,False,,measurable,213.06508507708028
S12-B ambient background,CX3CR1,astro,0.0053290740547237,50.7218151981682,1915,0.9780678851174934,-7.06534348617454,False,False,,NOT MEASURABLE (below the null floor),220.282622570351
S12-B ambient background,CSF1R,astro,0.0287650579928647,36.1619497885452,1904,0.9837184873949579,-6.69754994206404,False,False,,below the house reporting floor - null only,221.55526377217552
