celltype,bin,gene,mean,det,n_cells
astro,0.1,CA2,0.228167757461561,0.233644859813084,428
astro,0.1,CA4,0.00170960298208433,0.00233644859813084,428
astro,0.1,CA12,0.235427568170512,0.203271028037383,428
astro,0.1,CA14,0.00163032518369015,0.00233644859813084,428
astro,0.1,CA8,0.363794767759114,0.36214953271028,428
astro,0.1,CA11,0.0545644242072774,0.0817757009345794,428
astro,0.1,CA9,0.0159405100846959,0.0210280373831776,428
astro,0.1,BSG,0.342640333434689,0.345794392523364,428
astro,0.1,EMB,0.00614773099110505,0.00467289719626168,428
astro,0.1,SLC4A4,1.33527050529406,0.789719626168224,428
astro,0.1,SLC4A2,0.065816648374094,0.0934579439252336,428
astro,0.1,SLC4A10,0.179056398570538,0.231308411214953,428
astro,0.1,SLC9A1,0.0618321676259843,0.100467289719626,428
astro,0.1,SLC9A6,0.130756043245859,0.184579439252336,428
astro,0.1,SLC9A7,0.102998711308029,0.149532710280374,428
astro,0.1,SLC16A1,0.100999427593757,0.10981308411215,428
astro,0.1,SLC16A3,0.162755650407243,0.212616822429907,428
astro,0.1,SLC16A7,0.0920344795161319,0.100467289719626,428
astro,0.1,NDUFA1,0.112272682242861,0.144859813084112,428
astro,0.1,NDUFA2,0.0877460098572981,0.114485981308411,428
astro,0.1,NDUFA4,0.265375516890922,0.296728971962617,428
astro,0.1,NDUFA8,0.0616453977249493,0.0934579439252336,428
astro,0.1,NDUFA9,0.164577966120756,0.235981308411215,428
astro,0.1,NDUFA10,0.385898766603982,0.488317757009346,428
astro,0.1,NDUFA13,0.263286277303629,0.33411214953271,428
astro,0.1,NDUFB1,0.12166932775317,0.163551401869159,428
astro,0.1,NDUFB2,0.180239742813266,0.228971962616822,428
astro,0.1,NDUFB4,0.220668291655656,0.275700934579439,428
astro,0.1,NDUFB6,0.184198298813584,0.240654205607477,428
astro,0.1,NDUFB8,0.303536746337592,0.380841121495327,428
astro,0.1,NDUFB9,0.0973572233152167,0.130841121495327,428
astro,0.1,NDUFB10,0.0837176648952137,0.116822429906542,428
astro,0.1,NDUFS1,0.571290186841354,0.586448598130841,428
astro,0.1,NDUFS2,0.195333317548872,0.271028037383178,428
astro,0.1,NDUFS3,0.0547107825769442,0.0841121495327103,428
astro,0.1,NDUFS4,0.386426966254399,0.436915887850467,428
astro,0.1,NDUFS7,0.124408140778542,0.172897196261682,428
astro,0.1,NDUFS8,0.0796189771912922,0.121495327102804,428
astro,0.1,NDUFV1,0.243733936381117,0.322429906542056,428
astro,0.1,NDUFV2,0.208847646053149,0.289719626168224,428
astro,0.1,SDHA,0.316020449954216,0.397196261682243,428
