gene,det_all_astro,det_bin_astro,early_astro,late_astro,pct_change_astro,det_all_exc,det_bin_exc,early_exc,late_exc,pct_change_exc,reportable_astro,reportable_exc,nullable_astro,nullable_exc
MIR1302-2HG,7.41630697577834e-05,7.46368915227419e-05,4.22372190809962e-05,4.33191733099735e-05,2.56161331763465,0.000440680136193983,0.000444776141906205,0.000121666749925945,8.25939499324664e-05,-32.1146081548666,FALSE,FALSE,FALSE,FALSE
FAM138A,0,0,0,0,,7.44392121949295e-06,7.53857867637636e-06,3.03987725719407e-06,1.43640868169828e-06,-52.747806566896,FALSE,FALSE,FALSE,FALSE
OR4F5,1.48326139515567e-05,1.49273783045484e-05,2.1988950759519e-05,0,-100,4.46635273169577e-05,4.52314720582581e-05,1.2493453114918e-05,1.41649051564534e-05,13.3786233970785,FALSE,FALSE,FALSE,FALSE
AL627309.1,0.0173244930954182,0.0173456135898852,0.00941372989437218,0.00984432458552512,4.57411351275718,0.0781537288834565,0.0783439250363737,0.0191441336991739,0.0192274539608949,0.435226075152761,FALSE,FALSE,FALSE,TRUE
AL627309.3,0.000741630697577834,0.00073144153692287,0.00068725379868348,0.00041115978993281,-40.1735151234613,0.00297459091930938,0.00295361512540426,0.000709655293031114,0.000530810091134816,-25.2017005513206,FALSE,FALSE,FALSE,FALSE
AL627309.2,2.96652279031134e-05,2.98547566090967e-05,5.9885835840164e-05,0,-100,0.000110170034048496,0.00011157096441037,2.02080140174145e-05,3.1616978905232e-05,56.4576255637278,FALSE,FALSE,FALSE,FALSE
AL627309.5,0.0364437324789748,0.036422803063098,0.0221848131935126,0.0221040722548221,-0.363946894599576,0.157770932678665,0.157535186315972,0.041817261900678,0.0392217553261102,-6.20678269355008,FALSE,TRUE,TRUE,TRUE
AL627309.4,0.000207656595321794,0.000208983296263677,0.000212785588476162,0.000211039836864759,-0.820427559923454,0.000506186642925521,0.000496038476905564,0.000177026985277242,0.000108847210314397,-38.5137750925765,FALSE,FALSE,FALSE,FALSE
AP006222.2,0.000237321823224907,0.000223910674568226,0.000159399441514066,0.000207502702397884,30.1778101773171,0.000622311813949611,0.000615148019992311,0.000140003691571106,0.000133346204358938,-4.75522262124524,FALSE,FALSE,FALSE,FALSE
AL732372.1,4.449784185467e-05,4.47821349136451e-05,0,6.57042344847579e-06,,4.76410958047549e-05,4.82469035288087e-05,1.37804638307532e-05,1.18400605223966e-05,-14.0808272652356,FALSE,FALSE,FALSE,FALSE
OR4F29,0,0,0,0,,1.48878424389859e-06,1.50771573527527e-06,0,2.164241785175e-07,,FALSE,FALSE,FALSE,FALSE
AC114498.1,0.000860291609190288,0.000835933185054709,0.000544783061764448,0.000613017913255726,12.525141892312,0.000390061471901431,0.000392006091171571,0.000127582923740608,6.9604450139972e-05,-45.4437568138142,FALSE,FALSE,FALSE,FALSE
OR4F16,0,0,0,0,,0,0,0,0,,FALSE,FALSE,FALSE,FALSE
AL669831.2,0.00151292662305878,0.00144795569554119,0.00135615414906529,0.000781846113386064,-42.3482858548979,0.00188777842126341,0.00185449035438858,0.000528883612969499,0.000455410401451543,-13.8921323550618,FALSE,FALSE,FALSE,FALSE
LINC01409,0.181595692608908,0.18129300950874,0.129232470237323,0.124907482846355,-3.34667238274221,0.594303315969146,0.594662686297126,0.254614905148487,0.267421291764719,5.02970814248436,TRUE,TRUE,TRUE,TRUE
FAM87B,0.00140909832539789,0.00108969861623203,0.000980082924876585,0.000565962628701222,-42.253597697104,0.00185800273638544,0.00185298263865331,0.000544929664743457,0.00045032760010923,-17.3604174547488,FALSE,FALSE,FALSE,FALSE
LINC01128,0.0857918390958039,0.0838321565583437,0.0605925074644262,0.0544112459087765,-10.2013628653324,0.526743775765272,0.526260638819157,0.217395652872532,0.209994791110111,-3.40432831320706,FALSE,TRUE,TRUE,TRUE
LINC00115,0.0211809727228229,0.0210625307877178,0.0168825182504634,0.0117574233795015,-30.3574075557194,0.0471453306515367,0.0468778976411787,0.0143950252927935,0.010490337476928,-27.1252584587,FALSE,FALSE,TRUE,TRUE
FAM41C,0.0122962369658405,0.0123001597229479,0.00523046009844894,0.00844293318766566,61.418556470192,0.0749930399336598,0.0750510738705325,0.01489307609622,0.0182007485248792,22.2094643664562,FALSE,FALSE,FALSE,TRUE
AL645608.6,0.0095522033848025,0.00953859473660641,0.00667384474237321,0.00587769928002413,-11.9293374820998,0.00380979888013649,0.00377682791686455,0.000988041634785691,0.000985098317029652,-0.297894102071616,FALSE,FALSE,FALSE,FALSE
AL645608.2,0.00531007579465729,0.00531414667641922,0.00362288674324888,0.0031332056575509,-13.5163233189798,0.00627671437227646,0.00621480426080467,0.00172656244390082,0.00158201668322505,-8.37188143332924,FALSE,FALSE,FALSE,FALSE
AL645608.4,0.00013349352556401,0.000134346404740935,0,0.000104444887686046,,0.000151855992877656,0.000152279289262802,2.98582063364497e-05,4.47661014499057e-05,49.9289707676012,FALSE,FALSE,FALSE,FALSE
LINC02593,0.0108871386404426,0.0108820587840158,0.0130960760518455,0.00743668968701617,-43.2143669785104,0.000223317636584789,0.000224649644556015,6.6185432185279e-05,5.87266375652147e-05,-11.2695413080997,FALSE,FALSE,FALSE,FALSE
SAMD11,0.0657233124193477,0.0657700288098401,0.0731774455581844,0.0429929190593067,-41.2484014283848,0.00451846018023222,0.00449450060685558,0.00137919969301323,0.0011064371536232,-19.7768706570769,FALSE,FALSE,TRUE,FALSE
NOC2L,0.103516812767914,0.103207893597647,0.0723191745671441,0.0678132332384895,-6.23063157955579,0.305738221111258,0.305895922382794,0.0995657919404858,0.0964592505085117,-3.12008911035526,TRUE,TRUE,TRUE,TRUE
KLHL17,0.0430739109153206,0.0429609947604902,0.0241249312779755,0.0281359414752001,16.6259963645427,0.122223231287099,0.12263458247582,0.0333349561021243,0.0349724805280131,4.91233413019077,FALSE,TRUE,TRUE,TRUE
PLEKHN1,0.000815793767335618,0.00082100580675016,0.000632440199192991,0.000814038580492739,28.7139213369853,0.00731290820602987,0.00736066821961387,0.00171386264917285,0.00219777789650631,28.2353575747157,FALSE,FALSE,FALSE,FALSE
PERM1,0.00296652279031134,0.00298547566090967,0.00176985359442648,0.00214346864219363,21.1099408981464,0.0014768739699474,0.00148660771498142,0.000459468642810971,0.000348058746087774,-24.2475517026811,FALSE,FALSE,FALSE,FALSE
AL645608.7,0.00600720865038046,0.00576196802555567,0.00507783477295483,0.00332964121574195,-34.4279330734425,0.0101237328585104,0.0100805874060505,0.00342166919045617,0.00222996647071104,-34.8281102997644,FALSE,FALSE,FALSE,FALSE
HES4,0.0862516501283021,0.0842351957725665,0.0833703531937703,0.0588911739891258,-29.3619713326028,0.154191895356333,0.153913653119841,0.0720282367077491,0.0460568498071319,-36.0572298972066,FALSE,TRUE,TRUE,TRUE
ISG15,0.027870481614975,0.027630577241719,0.0220847830135874,0.0184891194087548,-16.2811814932496,0.0446248189266163,0.044464044749003,0.0132199901803374,0.011446335965277,-13.4164563730043,FALSE,FALSE,TRUE,TRUE
AL645608.1,0.00246221391595841,0.00246301742025048,0.00129100666260762,0.00164039189371898,27.0630075917401,0.0102353916768028,0.0102811135988421,0.00262404170776741,0.00235554962182181,-10.232005274567,FALSE,FALSE,FALSE,FALSE
AGRN,0.101217757605423,0.101237479661447,0.0636915972212117,0.0639270061377497,0.369607494251389,0.269194523060524,0.269018703213696,0.097841135740446,0.0806479991941329,-17.5725030338193,TRUE,TRUE,TRUE,TRUE
AL645608.5,1.48326139515567e-05,1.49273783045484e-05,0,1.09074105838782e-05,,6.25289382437408e-05,6.18163451462861e-05,1.32731363466796e-05,1.72990287317065e-05,30.331131089707,FALSE,FALSE,FALSE,FALSE
AL645608.8,0,0,0,0,,0.000175676540780034,0.000171879593821381,5.17576868929739e-05,4.25195874839959e-05,-17.8487485889406,FALSE,FALSE,FALSE,FALSE
RNF223,0.000237321823224907,0.000238838052872774,8.75299066789908e-05,0.000210839971381392,140.877637576641,0.000942400426387807,0.000931768324400118,0.000221114829145895,0.000234557569257111,6.07952897738291,FALSE,FALSE,FALSE,FALSE
C1orf159,0.276376095759356,0.276410264065322,0.225713870450332,0.221867847254553,-1.70393746210876,0.654439777932942,0.654341090530791,0.325520753934696,0.328799027944591,1.00708602148079,TRUE,TRUE,TRUE,TRUE
AL390719.3,0.0219077708064492,0.0217939723246406,0.019677013179065,0.0147016555812059,-25.2851261143259,0.0826468797315424,0.0822504165064719,0.0289505693251797,0.0196657953921427,-32.0711272678205,FALSE,FALSE,TRUE,TRUE
LINC01342,0.000771295925480948,0.000776223671836515,0.000503737350421053,0.000506737861557325,0.595649922278585,0.00130268621341127,0.00126648121763123,0.000306616041218232,0.000268072029640127,-12.5707746486337,FALSE,FALSE,FALSE,FALSE
AL390719.2,0.00022248920927335,0.000223910674568226,6.30349437553449e-05,0.000208941075883521,231.46864807951,4.46635273169577e-05,4.37237563229829e-05,1.0121456059996e-05,6.21454288206715e-06,-38.6003076510947,FALSE,FALSE,FALSE,FALSE
TTLL10-AS1,7.41630697577834e-05,7.46368915227419e-05,3.32753917780952e-05,5.28510177843119e-05,58.8291375703744,0.000805432275949137,0.000788535329548967,0.000192379671674156,0.000191278014962811,-0.572647152247041,FALSE,FALSE,FALSE,FALSE
TTLL10,0.0018837419718477,0.00186592228806855,0.0012188224772572,0.00120324714412018,-1.27790005744486,0.00562313808920498,0.00555140933728355,0.00148296157953552,0.00131754415772417,-11.1545318566623,FALSE,FALSE,FALSE,FALSE
TNFRSF18,0.00151292662305878,0.00152259258706393,0.0011691197839596,0.00101014289525804,-13.5979983302589,0.0258735813747136,0.0251381444542446,0.00754076853986046,0.00694275084801609,-7.93046078371523,FALSE,FALSE,FALSE,TRUE
TNFRSF4,0.00197273765555704,0.00198534131450493,0.00144737412630758,0.00119721963668495,-17.2833329735421,0.0205571328397517,0.0205788120707722,0.00660874629488417,0.00678915591611445,2.7298615074683,FALSE,FALSE,FALSE,TRUE
SDF4,0.164582684406473,0.1647534743473,0.113205575046525,0.115993487121772,2.46269856771757,0.44826698070089,0.447575970026611,0.183310482370118,0.161647170220767,-11.8178250742972,TRUE,TRUE,TRUE,TRUE
B3GALT6,0.0209139856716949,0.0209580391395859,0.0134538728299697,0.0139896823037827,3.98256680871407,0.0693609691389914,0.0692554145841343,0.0196625055734774,0.0193033691215364,-1.82650400580376,FALSE,FALSE,TRUE,TRUE
C1QTNF12,0.00857325086399976,0.00847875087698348,0.00624760565970154,0.00574551646849479,-8.0365058000594,0.0168158180348346,0.0167627835447905,0.00575902583300876,0.00413913050560774,-28.1279399393616,FALSE,FALSE,FALSE,FALSE
AL162741.1,0.000978952520802741,0.000985206968100193,0.000351504232708722,0.000534036721936884,51.9289590971781,0.00352990744228356,0.00350996223172083,0.000923201561387674,0.000909521346256354,-1.4818232229544,FALSE,FALSE,FALSE,FALSE
UBE2J2,0.236476364229668,0.236285471182696,0.167125134777732,0.169985824949171,1.71170552846123,0.447903717345379,0.447257842006468,0.16392894136457,0.158475039552545,-3.3269914187363,TRUE,TRUE,TRUE,TRUE
LINC01786,0.0388614485530785,0.0388410383484349,0.0247050015940247,0.0244610647099231,-0.987398779041793,0.123519962363534,0.124176975673007,0.034835057937016,0.0318913480180684,-8.45042349081198,FALSE,TRUE,TRUE,TRUE
SCNN1D,0.0911464127323158,0.0912062814407906,0.05826946695655,0.0646706684499454,10.9855157902313,0.165342889343134,0.166181936057776,0.0500118394045174,0.0512572088529591,2.49014925919573,FALSE,TRUE,TRUE,TRUE
ACAP3,0.311840875717528,0.312683793345375,0.234904742255942,0.240445499956623,2.35872534861108,0.780411767946178,0.78271705452654,0.461033683093367,0.445743221090065,-3.31656071216061,TRUE,TRUE,TRUE,TRUE
PUSL1,0.0138981592726086,0.0138973892015345,0.00844647379256746,0.00901882434629855,6.77620706329236,0.0417633756098432,0.0418225267808008,0.0126717921570259,0.0108623033217617,-14.2796599947466,FALSE,FALSE,FALSE,TRUE
INTS11,0.237321823224907,0.237390097177233,0.163400248790834,0.174800907678062,6.97713679850136,0.489905298434246,0.490277495081077,0.186039265549073,0.184156938475688,-1.01179020881906,TRUE,TRUE,TRUE,TRUE
AL139287.1,0.00136460048354322,0.0013583914257139,0.000854380004373694,0.000772500866365862,-9.58345672753114,0.00334083184330844,0.00333657492216418,0.000854716349806201,0.000802848828555708,-6.06838997080763,FALSE,FALSE,FALSE,FALSE
CPTP,0.0338035271955977,0.0339150035079339,0.0193082721986658,0.0221313701902776,14.6211839286523,0.0763284794004368,0.0763009702150757,0.0213025930402025,0.0202966827161649,-4.72200882840487,FALSE,FALSE,TRUE,TRUE
TAS1R3,0.00117177650217298,0.00117926288605932,0.00090578017550884,0.000793037451067793,-12.4470293664477,0.00427429956423285,0.00430905157141673,0.000971896792821559,0.00117168612084573,20.5566403243452,FALSE,FALSE,FALSE,FALSE
DVL1,0.117815452617215,0.117806869579496,0.0837177594224382,0.0814442687230927,-2.71566118710068,0.276263270650554,0.275645113870231,0.0942293286007784,0.0856436010904185,-9.11152359658117,TRUE,TRUE,TRUE,TRUE
MXRA8,0.0679333718981296,0.0677404427460405,0.0485096129501607,0.0466963033287703,-3.73804182534601,0.00868556727890437,0.00861357999562762,0.00255603784098192,0.00213864316294196,-16.3297534703015,FALSE,FALSE,TRUE,FALSE
AURKAIP1,0.0657233124193477,0.0654714812437492,0.0571834187446973,0.0433712073275352,-24.1542246342922,0.148049171566007,0.146931421549781,0.0523891479997758,0.0423217664914119,-19.2165398612838,FALSE,TRUE,TRUE,TRUE
CCNL2,0.519111823076581,0.519218999567106,0.463636365046515,0.44314247628772,-4.42025050315879,0.671201999734996,0.67122901448161,0.321056525325228,0.310866470431622,-3.17391303082311,TRUE,TRUE,TRUE,TRUE
MRPL20-AS1,0.0146991204259927,0.0147333223865892,0.0104194708276188,0.00977370255090156,-6.19770703715142,0.0345383056742034,0.0344166270891286,0.0100969822371769,0.00866491832640258,-14.1830883439759,FALSE,FALSE,FALSE,TRUE
MRPL20,0.192260342040078,0.191831738591751,0.156380301382266,0.135665851473514,-13.2462015520207,0.365035008761495,0.364989332911173,0.129927280252766,0.121873982559327,-6.1983116076715,TRUE,TRUE,TRUE,TRUE
AL391244.2,0.0186149305092036,0.0186144407457718,0.0108082071005459,0.0128754479361499,19.1265842370796,0.0490033333879221,0.0488153123610075,0.0136457623605725,0.0123460435794123,-9.52470625544202,FALSE,FALSE,FALSE,TRUE
ANKRD65,0.051424672570047,0.0513800361242555,0.0379155654015519,0.0370204943729547,-2.36069545348401,0.0615016771154508,0.0611062110349715,0.0219241095672586,0.0167461402765872,-23.6176948248981,FALSE,FALSE,TRUE,TRUE
AL391244.1,0.000697132855723164,0.000701586780313774,0.000378769573987355,0.000475214678201587,25.462737991054,0.00130864135038686,0.00131322040542476,0.000417262902027989,0.000313966508324412,-24.7557099376758,FALSE,FALSE,FALSE,FALSE
TMEM88B,0.00017799136741868,0.00017912853965458,3.56972106357119e-05,9.67792821519308e-05,171.111609082172,0.000430258646486693,0.000420652690141801,0.000117968004379563,9.95874965381602e-05,-15.5809263181761,FALSE,FALSE,FALSE,FALSE
LINC01770,0.00249187914386152,0.00249287217685958,0.00117063806530039,0.00155048083811195,32.4474988530373,0.000445146488925678,0.000438745278965104,0.00012717093403605,0.000108543885134785,-14.6472533542802,FALSE,FALSE,FALSE,FALSE
VWA1,0.0878980702769249,0.0879670403487036,0.0544021150816935,0.0606282383110704,11.4446344963377,0.0248954501264722,0.0249436491243941,0.0072970772614838,0.00672639466647065,-7.82070100895591,FALSE,FALSE,TRUE,TRUE
ATAD3C,0.0445275070825732,0.0443790956994223,0.0287847398283344,0.0280282577533596,-2.62806639728634,0.0979024518787713,0.0976170552803974,0.0266173199555993,0.0285476594092864,7.25219314681986,FALSE,FALSE,TRUE,TRUE
ATAD3B,0.159450599979234,0.159081070591572,0.111926834066634,0.108070116100507,-3.44574917917471,0.391627672926012,0.391488944674371,0.142878730194651,0.134004806647347,-6.21080795945914,TRUE,TRUE,TRUE,TRUE
ATAD3A,0.0928966611785995,0.0929527847024227,0.0573181193290337,0.0644875976015613,12.5082231525626,0.284497736303557,0.284680854271736,0.0949087002210869,0.0880371271108536,-7.24019304260435,FALSE,TRUE,TRUE,TRUE
TMEM240,0.0793099867989736,0.0794285799585019,0.0517528220189676,0.0580952922774045,12.2553128718516,0.295419457516797,0.295138370611605,0.105645604798632,0.0967965051577673,-8.37621182417511,FALSE,TRUE,TRUE,TRUE
SSU72,0.173200433112327,0.173157588332761,0.11816643122936,0.117308481357095,-0.726052114241527,0.479988506585637,0.478475096305343,0.18792336544947,0.178591897193698,-4.96557106321139,TRUE,TRUE,TRUE,TRUE
AL645728.1,0.0281967991219093,0.0281828902389873,0.0223669471763131,0.0192831680351423,-13.7872152013509,0.074329042160881,0.0740876435156916,0.0217478132074554,0.018706732324096,-13.9833869932122,FALSE,FALSE,TRUE,TRUE
FNDC10,0.0195197199602486,0.0196295024704811,0.0115013435324119,0.0141094535862222,22.6765685805347,0.106010370871043,0.106408545732788,0.0326428429678255,0.0324110402184971,-0.710118140006566,FALSE,TRUE,FALSE,TRUE
AL691432.4,0.00382681439950162,0.00383633622426893,0.0040920368885877,0.00210886722333542,-48.4641199296896,0.0776936945520918,0.0778991488944674,0.0261475019169152,0.0205553193050539,-21.3870626327161,FALSE,FALSE,FALSE,TRUE
AL691432.2,0.0294575713077916,0.0295114269080921,0.0182947298718835,0.0204058375634163,11.53943078863,0.150502687999952,0.150521292715471,0.0438707488863272,0.0434452526471866,-0.969885971728168,FALSE,TRUE,TRUE,TRUE
MIB2,0.199721146857711,0.199997014524339,0.142790699385631,0.144657886341807,1.30763905787294,0.482565592111826,0.482776609298083,0.189184918922899,0.181368815609819,-4.13146214697249,TRUE,TRUE,TRUE,TRUE
MMP23B,0.0110947952357644,0.0111208968368885,0.00742322802657813,0.0077785022951389,4.78598080631159,0.0306123816230428,0.0307679550097625,0.00799397450612622,0.00893237211970636,11.7388116869899,FALSE,FALSE,FALSE,TRUE
CDK11B,0.120574318812204,0.120210177486528,0.0807715233164217,0.0799187529883123,-1.05578091522258,0.280620942132445,0.280236108284144,0.0877403061989381,0.089983379297376,2.55649107646376,TRUE,TRUE,TRUE,TRUE
FO704657.1,0.00815793767335618,0.00813542117597886,0.0052803399120306,0.00464563744524538,-12.0201062310236,0.00868407849466048,0.00864674974180368,0.0022172919746529,0.00208900581289433,-5.78571352916409,FALSE,FALSE,FALSE,FALSE
SLC35E2B,0.265919102923508,0.266602976519234,0.17989041896267,0.198768678512024,10.4943107355101,0.526575543145712,0.527971896178694,0.212305076499102,0.213315296459396,0.475834104842487,TRUE,TRUE,TRUE,TRUE
CDK11A,0.163944882006556,0.164156379215118,0.112297133509579,0.114339018015226,1.81828729000739,0.281727108825662,0.282737408688966,0.0818735620768905,0.0949746501420076,16.0016099614836,TRUE,TRUE,TRUE,TRUE
SLC35E2A,0.222934187691897,0.223627054380439,0.137231286905342,0.164308357793452,19.7309749829765,0.50743126655342,0.509408900045985,0.188789045009121,0.204955366976518,8.56316740551133,TRUE,TRUE,TRUE,TRUE
NADK,0.211424079265489,0.211177620874446,0.140706787457835,0.145268375953406,3.24191076918632,0.301261446889855,0.301036554568002,0.099946620738565,0.0931139919038414,-6.83627798942401,TRUE,TRUE,TRUE,TRUE
GNB1,0.667482460434002,0.667000044782135,0.670694302805469,0.673307567757241,0.389635776066943,0.954745425338215,0.954709727028066,0.965811940299096,0.950039127704428,-1.63311426754397,TRUE,TRUE,TRUE,TRUE
AL109917.1,0.00323350984143936,0.0031795315788688,0.00291371460351925,0.00183208656940955,-37.121962212884,0.00626331531408137,0.00625249715418655,0.00179650977384009,0.00150533856282525,-16.2076051716907,FALSE,FALSE,FALSE,FALSE
CALML6,0.00401963838087186,0.00403039214222806,0.00217966414808891,0.00261724221495699,20.0754812273138,0.013873980368891,0.0138528921757092,0.00331576824358401,0.00414077509159931,24.8813182167266,FALSE,FALSE,FALSE,FALSE
TMEM52,0.00278853142289266,0.002776492364646,0.00200833443486765,0.00147374148345283,-26.618721570148,0.0144099426966945,0.0143549615155559,0.00461829426729128,0.00373373607424441,-19.1533527716431,FALSE,FALSE,FALSE,FALSE
CFAP74,0.0299173823402898,0.0299293935006195,0.0196018745051154,0.0203386627094197,3.75876401061528,0.394524847064639,0.394517945586539,0.145876722168636,0.145304989112633,-0.391928916076623,FALSE,TRUE,TRUE,TRUE
AL391845.2,0.00152775923701034,0.00153751996536848,0.0010100276130735,0.000896993591614872,-11.1911813098524,0.0275454860806117,0.0273544865850992,0.0076924435063803,0.0064638812693736,-15.9710270993566,FALSE,FALSE,FALSE,TRUE
GABRD,0.0299767127960961,0.030078667283665,0.0230030088029258,0.0214703857214561,-6.66270701628747,0.400284953304282,0.399134571167952,0.162868766029044,0.145348287301102,-10.7574209316582,FALSE,TRUE,TRUE,TRUE
AL391845.1,0,0,0,0,,2.82869006340732e-05,2.86465989702302e-05,8.72937107594595e-06,5.343649951575e-06,-38.7853958196416,FALSE,FALSE,FALSE,FALSE
PRKCZ,0.0738070870229461,0.0738755952292099,0.0602091534844314,0.0530425367432096,-11.9028691261619,0.873328281392132,0.873202614379085,0.635559105595303,0.611918422890995,-3.71966706104614,FALSE,TRUE,TRUE,TRUE
AL590822.2,0.00490959521796526,0.00492603484050096,0.00384977338395239,0.00343429436872313,-10.7922979820363,0.0605458776308679,0.0599648702233681,0.0203293557976746,0.0138493953726965,-31.8748930830328,FALSE,FALSE,FALSE,TRUE
PRKCZ-AS1,0.00711965469674721,0.00710543207296503,0.00433770081470304,0.0050885386495526,17.3095809721254,0.00277956018335867,0.00273348862805407,0.000758127023252057,0.000704723975136391,-7.04407658318109,FALSE,FALSE,FALSE,FALSE
FAAP20,0.172028656610154,0.172500783687361,0.112518105486302,0.121107649217094,7.63392139750951,0.150341899301611,0.15051526185253,0.0461925830884165,0.0435851261103886,-5.64475247690089,TRUE,TRUE,TRUE,TRUE
AL590822.1,0.0146101247422833,0.014643758116762,0.00922922070938509,0.00950294818941321,2.96587857899819,0.0701783116888917,0.0702881998627979,0.0172875287946219,0.0202688117062841,17.2452809599352,FALSE,FALSE,FALSE,TRUE
SKI,0.454471291475697,0.453732590945052,0.380492073143677,0.371940340047476,-2.24754566515537,0.795447000025309,0.794931059698005,0.478170322193224,0.463317037454962,-3.10627490851688,TRUE,TRUE,TRUE,TRUE
AL590822.3,0.00238805084620063,0.00238838052872774,0.00218041167895578,0.0016091780196299,-26.1984314631562,0.00551147927091258,0.00546546954037286,0.00150654383940903,0.00147036886575517,-2.40118957759939,FALSE,FALSE,FALSE,FALSE
MORN1,0.172280811047331,0.172381364660925,0.121609614878883,0.124247882237488,2.16945622369773,0.481993898962169,0.481312617319131,0.18860483972883,0.183183107452351,-2.87465172382304,TRUE,TRUE,TRUE,TRUE
AL589739.1,0.00207656595321794,0.00208983296263677,0.00127346874183884,0.00150434739203726,18.1299032016319,0.00608019485208184,0.00607760212889462,0.00145961580099054,0.00169707780953775,16.2688022687934,FALSE,FALSE,FALSE,FALSE
AL513477.2,0.0103086666963319,0.0103148184084429,0.00723456799431427,0.00723276057312314,-0.024983125357958,0.0853520007027062,0.0846265765052657,0.0259513879353386,0.0204930498749419,-21.0329330901182,FALSE,FALSE,FALSE,TRUE
RER1,0.195686675862887,0.19533967249332,0.143493098555935,0.138250066073682,-3.65385689975082,0.44131286949764,0.440592230740816,0.169956148092927,0.150741386585744,-11.3057172234079,TRUE,TRUE,TRUE,TRUE
PEX10,0.063973063973064,0.0634413577943306,0.0436661206534967,0.0411524916820551,-5.75647420431031,0.12100540577559,0.121036403796428,0.0384666527264852,0.0319895066639985,-16.8383407533327,FALSE,TRUE,TRUE,TRUE
PLCH2,0.0376896720509055,0.0379304682718574,0.0225912617934263,0.0230160790297039,1.88044935321521,0.214524876840323,0.215047003038047,0.0793900671770044,0.0764043206963493,-3.76085647339004,FALSE,TRUE,TRUE,TRUE
AL139246.1,0.00017799136741868,0.000164201161350032,8.25473753401292e-05,0.000120748230772045,46.2774924999283,0.00281082465248054,0.00281490527775893,0.000704899951201778,0.000792176861918805,12.3814607403831,FALSE,FALSE,FALSE,FALSE
AL139246.4,2.96652279031134e-05,2.98547566090967e-05,4.69845889971927e-05,0,-100,0.000476410958047549,0.000476438172346986,0.000107704194887243,0.000147955933867991,37.3724895514862,FALSE,FALSE,FALSE,FALSE
PANK4,0.0592266275085658,0.0593512561388843,0.0382177698107209,0.038142939412682,-0.195800012427361,0.199589393305533,0.198695825888987,0.0644611251344161,0.0562542799216019,-12.7314644224733,FALSE,TRUE,TRUE,TRUE
HES5,0.0723683234696451,0.0727858966129779,0.0739686554263004,0.0689290665277388,-6.81314114676975,0.00959670323617031,0.00962374953826206,0.0027667025572112,0.00255395026478741,-7.68974213976368,FALSE,FALSE,TRUE,FALSE
AL139246.5,0.0239991693736187,0.0241226433401502,0.016025015410004,0.0202915300302472,26.6240905926357,0.106902152633138,0.107469977610421,0.0298520332582703,0.0313571990047019,5.04208786520284,FALSE,TRUE,TRUE,TRUE
TNFRSF14-AS1,0.00197273765555704,0.00198534131450493,0.00167935545178146,0.00145133777784508,-13.5776898032219,0.00751091651046839,0.00754460953931746,0.00215868100952428,0.00194673737954782,-9.81820051417257,FALSE,FALSE,FALSE,FALSE
TNFRSF14,0.0463519185986146,0.0462450179874909,0.036481330425489,0.0305799563898561,-16.1764222050128,0.122943802861146,0.123570873947426,0.0427293422493422,0.0349839166522975,-18.1267138441942,FALSE,TRUE,TRUE,TRUE
AL139246.3,0.00209139856716949,0.00210476034094132,0.00130564921492373,0.00140154261585434,7.34449956654018,0.00705385974759152,0.00705309420961772,0.00185447732117758,0.0018397975398442,-0.791585918347015,FALSE,FALSE,FALSE,FALSE
