gene,det_astro,pct_astro,n_null,pctl,slope,p,partial_r_vatp,reportable,verdict,behaves_like_MCT4
CA2,0.178695645683749,3.21660561270376,2524,0.732963549920761,0.00558146448244946,0.702596370226954,0.0520673726233761,TRUE,measurable,FALSE
CA4,0.00971772327626099,3.90680630032312,1858,0.713670613562971,0.00095409599588905,0.597128960750247,0.400006917305067,FALSE,NOT MEASURABLE (below the null floor),FALSE
CA12,0.149094654505829,3.55640913969792,2411,0.751970136872667,0.00253448336816086,0.962270163568738,-0.0501376781729611,TRUE,measurable,FALSE
CA14,0.00625457150960577,6.82035360538931,1949,0.74089276552078,-0.000808195392235848,0.539090016902065,0.0416784379378869,FALSE,NOT MEASURABLE (below the null floor),FALSE
CA8,0.684480004776761,-4.30992683214315,1723,0.0882182240278584,0.0207820511792073,0.791866429678573,-0.37265284212497,TRUE,measurable,FALSE
CA11,0.142422116403696,3.87572982271702,2447,0.771965672251737,0.0138850976665215,0.413261845407947,0.416247433153553,TRUE,measurable,FALSE
CA9,0.00213461509755042,-34.0563052163689,1791,0.128978224455611,-0.00248027598014988,0.30694801195098,0.254055171963598,FALSE,NOT MEASURABLE (below the null floor),FALSE
BSG,0.539027630577242,8.55826597852956,1963,0.898624554253693,0.0772649082795297,0.251512918266348,-0.12201054355841,TRUE,measurable,FALSE
EMB,0.0144347748204983,6.20005667923633,1761,0.778534923339012,0.00268608370400501,0.395431735892942,0.174624446685737,FALSE,NOT MEASURABLE (below the null floor),FALSE
SLC4A4,0.948530399605917,3.83924839672782,906,0.709713024282561,0.120176552227919,0.441789841382758,-0.417667023257869,TRUE,measurable,FALSE
SLC4A2,0.0787419205564927,-1.22574633225961,2153,0.584765443567116,0.0109704340199655,0.104418179609576,0.199491226023252,FALSE,below the house reporting floor - null only,FALSE
SLC4A10,0.293143855144721,-0.179716036044175,2597,0.491721216788602,-0.0602734346096189,0.248051608356053,0.293766477459206,TRUE,measurable,FALSE
SLC9A1,0.0857279336030213,-2.31072002915514,2202,0.532697547683924,0.00804068801418032,0.297750446347424,0.0463755839992972,FALSE,below the house reporting floor - null only,FALSE
SLC9A6,0.229135256974818,12.1736069994716,2616,0.949923547400612,0.0246700344050863,0.0359061042986806,-0.0708109922161034,TRUE,measurable,FALSE
SLC9A7,0.125569106297861,-3.5322649455056,2353,0.440713982150446,-0.0333235840793081,0.0297845816688828,0.274283560392075,TRUE,measurable,FALSE
SLC16A1,0.0812347927333522,-11.125574633915,2167,0.243193354868482,-0.033068210901664,0.00213741358609036,0.276024740519067,FALSE,below the house reporting floor - null only,FALSE
SLC16A3,0.0602170440805481,-43.1952363233837,2027,0.00444005920078934,-0.0746792718026652,3.574596820665e-07,0.474468599439771,FALSE,below the house reporting floor - null only,TRUE
SLC16A7,0.0928930751892045,-12.1337793610807,2242,0.209634255129349,-0.0506030947795726,0.0639304725208701,0.292054150632989,FALSE,below the house reporting floor - null only,FALSE
