set,celltype,n_total,n_ok,pct,slope,p,slope_raw,p_raw_composite,verdict
Complex I (NDUFA),astro,7,7,-11.4748520419019,-0.969742130216503,0.00109185111665453,-0.0435474875434796,0.0013895482929964,declines
Complex I (NDUFA),exc,7,7,-11.0812355298699,-0.00449100038464387,0.986936446861568,-0.00734741483173363,0.643132236981312,no significant CPS association
Complex I (NDUFB),astro,7,7,-12.3671696444544,-0.734700221605986,0.0164490951620465,-0.0349343786488358,0.00545649127271248,declines
Complex I (NDUFB),exc,7,7,-13.9562128152691,-0.106449429491214,0.736205137160557,-0.00676053971863065,0.621506176805294,no significant CPS association
Complex I (NDUFS/V),astro,8,8,0.0362851474376648,-0.160701488786925,0.49275696222859,-0.00663551097401743,0.562574438831216,no significant CPS association
Complex I (NDUFS/V),exc,8,8,-5.40185155036846,0.36852463639457,0.142600250067329,0.0158002599972952,0.119893460285305,no significant CPS association
Complex II,astro,2,2,,,,,,NOT REPORTED (too few measurable members)
Complex II,exc,2,2,,,,,,NOT REPORTED (too few measurable members)
Complex III,astro,3,3,-0.578255636129458,-0.1985553313486,0.510009695811989,-0.0156977830241791,0.229847290356594,no significant CPS association
Complex III,exc,3,3,-6.31066329700341,0.357955395172187,0.243875228980912,0.0113941260149696,0.206968641595489,no significant CPS association
Complex IV,astro,4,4,-14.8128877478614,-1.23518121141101,0.00108939626920926,-0.0667599620075289,0.00113231028234801,declines
Complex IV,exc,4,4,-12.4000018678554,0.0129852839886425,0.969796872204337,-0.0012421226115114,0.955849441624047,no significant CPS association
Complex V,astro,4,4,-2.27110965904618,-0.73912658988731,0.0351297510171167,-0.0273712467496756,0.0527478449608528,declines
Complex V,exc,4,4,-9.20630122780873,0.0827400987543404,0.78750543172112,0.00756888229731802,0.653358346098941,no significant CPS association
Complex I (all),astro,22,22,-7.57290321022693,-0.600759471502402,0.0158016991538285,-0.0273844159608339,0.0123205508924715,declines
Complex I (all),exc,22,22,-9.93077049176911,0.0987097310011623,0.709679388248391,0.00125665446026404,0.919104192462248,no significant CPS association
ETC (all complexes),astro,35,35,-6.547175398465,-0.586702259383994,0.0180384083030212,-0.0284028400028329,0.00890933739815695,declines
ETC (all complexes),exc,35,35,-9.50064922407671,0.0954222125002031,0.714243776942724,0.00202502032079937,0.871911841356577,no significant CPS association
Biogenesis regulators,astro,7,7,3.61917338753418,0.107327867606415,0.565702823457016,0.036665289768461,0.0117238539068321,no significant CPS association
Biogenesis regulators,exc,7,7,-4.0167584655937,-0.219002883052173,0.123925945576731,-0.00942831971945938,0.18663046016579,no significant CPS association
Fission/fusion,astro,5,5,-3.49891630583581,-0.812261937080475,0.000144356557053636,-0.0607882928837531,4.81930303641234e-05,declines
Fission/fusion,exc,5,5,-6.07197715103694,-0.0873458707011481,0.577777261257834,-0.00535236911892426,0.6156690188476,no significant CPS association
REFERENCE astrocytic MCT4,astro,1,1,-43.1952363233837,-0.0746792718026652,3.574596820665e-07,-0.0746792718026652,3.574596820665e-07,reference
