pathway,celltype,n_total,n_ok,pct,slope,p_raw,slope_rawcomp,p_rawcomp,r_with_ANLS,dropped,p_holm,verdict
Lactate export (ANLS hub),astro,4,4,-26.1137007014179,-1.20054877155792,0.000566193784468196,-0.0823114219879107,0.0899360565138254,1,"",0.00905910055149114,CO-DECLINES with ANLS
Iron handling,astro,5,5,-18.8302573067227,-0.671716251751201,0.0137075972527525,-0.283907711493789,0.000812483682602028,0.46969027128125,"",0.205613958791288,no decline at the family-adjusted alpha
Glucose uptake and glycogen,astro,4,4,-14.5750141627277,-0.704886750731652,0.0195105378986182,-0.052000014158412,0.0303745609460118,0.586401660180075,"",0.261585386046467,no decline at the family-adjusted alpha
Ketone body handling,astro,3,3,-13.5440557301646,-0.472171541193185,0.0186846704318905,-0.0153804539094976,0.158051032216481,0.0932791696951677,"",0.261585386046467,no decline at the family-adjusted alpha
Water and K+ buffering,astro,4,4,7.84651413463349,0.658470479274072,0.0300195021921004,0.152211075935892,0.0197921750664982,-0.41302859515984,"",0.360234026305205,no decline at the family-adjusted alpha
Neuronal identity (control),exc,4,4,1.52283865103804,0.544664098546093,0.061022185349126,0.0795036614804643,0.0819509740612769,-0.132130659626931,"",0.671244038840386,no decline at the family-adjusted alpha
Glutamate uptake and recycling,astro,4,4,7.50351590016659,0.270663467921832,0.421390154901654,0.0394064552365699,0.704469161397941,-0.120044506537726,"",1,no decline at the family-adjusted alpha
Na/K-ATPase,astro,4,4,-3.33728335448479,-0.404811840031421,0.116677421856632,0.0184736514998627,0.773581210574855,0.344882818696101,"",1,no decline at the family-adjusted alpha
Fatty acid oxidation,astro,4,4,0.180067861058549,-0.0463059264686926,0.82821760785797,0.000334521959237923,0.987824571643075,0.0274928505180282,"",1,no decline at the family-adjusted alpha
Astrocyte reactivity,astro,5,5,-11.4911653298011,-0.165350446830112,0.627295213231929,-0.0641716339827128,0.630320800902883,0.628390314151556,"",1,no decline at the family-adjusted alpha
Mitochondrial ETC (astro),astro,6,6,-0.325563595835074,-0.327319321449209,0.193496265087914,-0.0148448074869961,0.22285740929699,0.101323668563246,"",1,no decline at the family-adjusted alpha
Neuronal V-ATPase,exc,6,6,-5.67189081261931,0.185742265875283,0.564928499542417,0.0216664400255417,0.442492647454539,0.45576046447527,"",1,no decline at the family-adjusted alpha
Neuronal lysosome,exc,4,4,-1.77807041058301,0.4815512709937,0.140895545672131,0.0282940186361479,0.109029214924117,0.292074472067816,"",1,no decline at the family-adjusted alpha
Mitochondrial ETC (neuron),exc,6,6,-6.4761341272506,0.0890157161938973,0.689403364239591,0.00540768042748002,0.654185236836272,0.506705917545513,"",1,no decline at the family-adjusted alpha
Neuronal protein synthesis,exc,4,4,-9.57345619599632,0.286661933727801,0.386122047101089,0.0163588707441108,0.407523889128783,0.407476282076914,"",1,no decline at the family-adjusted alpha
Integrated stress response,exc,4,4,-5.88113691723934,0.43495044865357,0.218233084923933,0.014443765018733,0.239751586254134,0.538505889777821,"",1,no decline at the family-adjusted alpha
