axis,series,n,levels,quad,p_quad,vertex,inside,argmax,seg_bp,verdict
cps,astrocytic MCT4,84,84,0.0490685901225619,0.512170053473371,1.30853006799366,FALSE,0.224783433,0.172034522142857,not concave-inside
cps,neuronal V-ATPase (6),84,84,0.323009762489543,0.0178699793076429,0.515317665605091,TRUE,0.786515278,0.152563439285714,not concave-inside
cps,CONTROL neuronal identity,84,84,0.094567259199758,0.67158249738489,0.12850092174682,FALSE,0.911019291,0.834051339285714,not concave-inside
adnc,astrocytic MCT4,84,4,-0.00668321181102461,0.0943747556351713,1.09001310641792,TRUE,1,1.03038847117795,not concave-inside
adnc,neuronal V-ATPase (6),84,4,-0.00164833076790859,0.810090648623915,3.47752730206095,FALSE,1,1.10552631578947,not concave-inside
adnc,CONTROL neuronal identity,84,4,-0.000268423521966004,0.980881807093761,19.3687044436621,FALSE,3,2.00718045112782,not concave-inside
thal,astrocytic MCT4,84,6,-0.00158863341402326,0.30708490461343,1.25948525035383,TRUE,2,1.99268421052632,not concave-inside
thal,neuronal V-ATPase (6),84,6,0.000293625428748983,0.909480346844485,-7.66241064822692,FALSE,2,1.99268421052632,not concave-inside
thal,CONTROL neuronal identity,84,6,0.00176874718834375,0.676337109657422,0.431081590379405,TRUE,5,4.31005263157895,not concave-inside
cerad,astrocytic MCT4,84,4,0.00108204473274261,0.762677457568777,6.12769255803103,FALSE,0,2.11237343358396,not concave-inside
cerad,neuronal V-ATPase (6),84,4,0.00912006158165914,0.139155912427517,1.18816429429225,TRUE,1,2.01469423558897,not concave-inside
cerad,CONTROL neuronal identity,84,4,0.0161323275798289,0.10532613189817,1.04818491979829,TRUE,3,0.294037593984962,not concave-inside
braak,astrocytic MCT4,84,6,-0.00374692577295727,0.0103067881426097,2.87065807600717,TRUE,2,2.33105012531328,"concave, vertex inside range"
braak,neuronal V-ATPase (6),84,6,0.00407784127006906,0.0901376684420581,2.86587421703184,TRUE,0,5.00684962406015,not concave-inside
braak,CONTROL neuronal identity,84,6,0.00692594397264695,0.0780499679461757,2.95569130863179,TRUE,6,4.91665413533835,not concave-inside
