gene,rho
SLC16A3,-0.258840643181244
SAMD11,0.197504471231347
MXRA8,0.110344719930689
AURKAIP1,0.0264489137402635
TMEM240,0.194378581801422
PEX10,-0.0326544269926808
PANK4,0.227999301701533
TTC34,-0.0912140158028207
WRAP73,0.271428469807024
LRRC47,-0.0798186147443282
DFFB,0.21578715398632
AJAP1,0.457729411202503
THAP3,0.182280336509003
UBIAD1,0.15488768697999
PDPN,0.0329198143301754
MRTO4,0.0557490373225912
SLC66A1,0.0804000910814006
FAM43B,-0.154642225822371
HSPG2,0.0315459400514609
C1QB,-0.122911926028624
EPHB2,-0.257471211334597
LYPLA2,0.0772762835136051
GALE,0.0548713877298374
IFNLR1,-0.0137954155763712
RHCE,-0.253231063397027
LDLRAP1,0.0265270904712827
STMN1,0.197944514018232
PDIK1L,-0.0999818130289053
CEP85,-0.276065908868266
SH3BGRL3,-0.0622210875342134
UBXN11,0.00512872781396803
PIGV,-0.00197176120769233
SLC9A1,-0.31580507096248
IFI6,0.0894916067576639
RCC1,0.241137777404119
PEF1,0.101794048360802
TMEM234,-0.123209416946743
EIF3I,-0.157138543491993
TSSK3,0.278239301328465
KIAA1522,0.181758962016855
TRIM62,0.0347615061436758
ADPRHL2,0.0235674879969982
MRPS15,0.0657857216900835
SNIP1,-0.0533259547852253
GNL2,-0.516007933593285
UTP11,-0.0795754692098915
CTPS1,0.067961440257091
C1orf50,-0.472246028762767
MED8,-0.297659981188779
SLC6A9,0.455672298577571
HECTD3,-0.0821616939702883
UROD,0.140158613075278
LURAP1,-0.0493109786033775
FAAH,0.36422941751819
LRRC42,-0.072654707709192
MRPL37,0.00699269266896175
C1orf87,0.372737357501231
USP1,-0.127890084919862
SLC44A5,0.160646652295837
MSH4,0.0867088112780577
ADGRL2,0.0137910310939179
COL24A1,0.522903126825393
GBP1,0.154836369169006
DNTTIP2,-0.235107317448658
FAM102B,-0.397820126985495
TAF13,-0.313582504162454
PSRC1,0.198195475237151
SYPL2,-0.0996282280744314
ATXN7L2,0.107119803530814
SLC16A4,0.278676020866963
LAMTOR5,-0.0167207392715565
C1orf162,-0.00527886200415776
INKA2,0.084451677272683
AP4B1,-0.277422590745241
DENND2C,-0.132001493560177
WDR3,-0.633132377031088
NBPF20,0.120245165489024
PEX11B,-0.0157734348175437
C1orf56,-0.0177116739650128
VPS72,0.0423175115964871
ILF2,-0.0946401892235126
CRTC2,0.270809306161496
SLC39A1,-0.0704178420838775
RAB13,-0.125318589084658
HAX1,-0.0445346677643437
SHE,0.111941945717886
PYGO2,0.0807970656728728
THBS3,-0.0967508636584658
MTX1,0.169791215974457
RUSC1,0.0280902949773648
ARHGEF2,0.0627344903897977
SSR2,-0.0837816419911229
LAMTOR2,0.0632888029924403
ISG20L2,-0.150684999421527
PEX19,0.0494061865464708
DUSP12,0.265347981377638
NOS1AP,0.130316866061105
NUF2,-0.00844305477790848
MAEL,-0.245289774573098
MPC2,0.166696414556154
ATP1B1,0.174063018669954
FMO4,-0.192713114157982
TNFSF4,0.245131718290189
DARS2,0.00306382357917753
SEC16B,0.119768079143138
TOR3A,-0.0851200705342356
AXDND1,-0.212415879456059
RNASEL,-0.0912290238607714
RGS16,-0.0332765918740121
NIBAN1,-0.232829382169608
PTPRC,-0.143432679776292
SNRPE,-0.170659588864055
UTP25,-0.226767071923713
TRAF5,0.330212476041982
PACC1,-0.0724817864097699
BPNT1,-0.133604168353716
PYCR2,0.0628757679707449
