"marker","beta_unadj","p_unadj","beta_adj","p_adj","shift_pct","verdict"
"MCT4",-0.0737451922458718,1.29882076676656e-07,-0.08229069859209,1.00548288186761e-07,11.5878826618648,"robust"
"TFRC",-0.135763443872309,0.021282934993339,-0.164021637137617,0.0124135105056479,20.8142873068881,"APOE-CONFOUNDED"
"FTH1",-1.01502000685402,3.80326424595674e-05,-1.18969447109263,1.30755506443003e-05,17.2089676123724,"robust"
"FTL",-0.405403785181691,0.010459098753628,-0.481575270025569,0.00626971915683771,18.7890413528677,"robust"
"HMOX1",-0.015152213286188,0.480272470573924,-0.0114509314738887,0.632217804484752,24.4273344256133,"APOE-CONFOUNDED"
"SLC40A1",-0.00462297144781305,0.325799670838731,-0.00782076776022846,0.133184055804845,69.1718810837166,"APOE-CONFOUNDED"
"SLC11A2",-0.0963124843723089,0.00052969746568906,-0.110479308739316,0.000347824853019821,14.709229503668,"robust"
"partial MCT4-VATP_n6",0.47446859943977,NA,0.457946136826429,NA,1.65224626133417,"robust"
"partial MCT4-LAMP1_n",0.501050728095214,NA,0.487710734375175,NA,1.33399937200388,"robust"
"partial MCT4-LDHB_n",0.417956346550541,NA,0.399800741502406,NA,1.81556050481345,"robust"
