pair,cps_min,n,A_r,A_p,C1_r,C1_p,C2_r,C2_p
VATP_n6,0.1,84,0.474,5.13e-06,0.232,0.0334,0.281,0.00954
VATP_n6,0.15,83,0.449,2.1e-05,0.19,0.0851,0.249,0.023
VATP_n6,0.2,80,0.461,1.65e-05,0.2,0.0755,0.261,0.0193
VATP_n6,0.3,71,0.479,2.34e-05,0.207,0.0837,0.271,0.0222
LAMP1_n,0.1,84,0.501,1.21e-06,0.31,0.00417,0.33,0.00214
LAMP1_n,0.15,83,0.495,1.92e-06,0.3,0.00578,0.322,0.00297
LAMP1_n,0.2,80,0.508,1.55e-06,0.313,0.00471,0.333,0.00252
LAMP1_n,0.3,71,0.501,8.53e-06,0.288,0.0148,0.311,0.00836
LDHB_n,0.1,84,0.418,7.62e-05,0.161,0.143,0.212,0.0533
LDHB_n,0.15,83,0.382,0.000365,0.098,0.378,0.157,0.157
LDHB_n,0.2,80,0.406,0.000185,0.121,0.286,0.179,0.112
LDHB_n,0.3,71,0.372,0.00139,0.02,0.866,0.098,0.417
