gene,detection,pct_change
SAMD11,0.0657,-41.25
MXRA8,0.0679,-3.74
AURKAIP1,0.0657,-24.15
ANKRD65,0.0514,-2.36
PRKCZ,0.0738,-11.9
PEX10,0.064,-5.76
PANK4,0.0592,-0.2
HES5,0.0724,-6.81
TNFRSF14,0.0464,-16.18
TPRG1L,0.0572,4.61
AL365255.1,0.0461,20.04
ICMT,0.0481,5.46
TNFRSF25,0.0705,0.52
SLC45A1,0.062,5.79
SPSB1,0.0734,-25.3
TMEM201,0.047,10.14
AL139424.2,0.0729,5.73
CASZ1,0.0507,5.44
AL109811.1,0.0714,-15.28
FBXO6,0.0508,-1.72
PDPN,0.0521,-8.67
SLC25A34,0.0527,5.83
UQCRHL,0.0578,26.37
FAM131C,0.0596,24.96
IGSF21,0.057,10.4
SLC66A1,0.056,-0.17
MUL1,0.074,8.65
HSPG2,0.0546,-5.03
ZNF436,0.0459,0.46
LYPLA2,0.0519,-2.7
GALE,0.0719,-2.78
FUCA1,0.0493,-7.9
IFNLR1,0.0631,-0.53
AL031432.4,0.0759,12.15
RHD,0.0697,-14.25
RHCE,0.0664,-6.1
LDLRAP1,0.0741,6.81
PAQR7,0.0532,-0.42
CEP85,0.073,-1.37
SH3BGRL3,0.054,-19.43
IFI6,0.0476,3.54
RCC1,0.0665,-0.17
SNHG3,0.0586,5.51
PEF1,0.0722,2.59
CCDC28B,0.0516,-7.94
EIF3I,0.0544,3.48
TSSK3,0.0672,10.97
AL020995.1,0.057,-37.84
AL513327.1,0.0469,-28.93
ZSCAN20,0.0462,4.62
C1orf216,0.047,1.96
AL138787.2,0.0587,-40.19
ADPRHL2,0.0652,-5.63
SNIP1,0.0744,-6.31
C1orf109,0.0484,-4.66
UTP11,0.0668,1.65
POU3F1,0.0651,5.44
AL442071.2,0.0524,-31.73
HPCAL4,0.0607,-3.39
AL050341.2,0.0537,-13.43
RIMS3,0.0577,7.84
CTPS1,0.066,-2.17
SLFNL1-AS1,0.0466,-31.02
RIMKLA,0.0526,-14.37
ZMYND12,0.0535,0.34
AC098484.4,0.0561,-21.65
C1orf50,0.0748,2.04
MED8,0.0536,-7.52
HYI,0.075,-8.38
AL357079.1,0.0687,-10.42
SLC6A9,0.07,6.9
AL139220.2,0.0571,-2.12
AL592166.1,0.0555,5.41
HECTD3,0.0604,-10.43
UROD,0.0584,-9.7
STIL,0.0602,-1.13
CPT2,0.071,-3.09
AL606760.2,0.0524,10.71
GLIS1,0.0531,-7.6
CYB5RL,0.0713,-0.35
MRPL37,0.0694,-5.57
DHCR24,0.0613,-22.77
LINC01739,0.055,15.48
DLEU2L,0.0556,2.81
ROR1-AS1,0.0501,-1.49
AL139294.1,0.065,-37.93
MSH4,0.0728,10.39
NEXN,0.0759,-18.93
IFI44L,0.0638,-36.58
WDR63,0.0466,-3.94
COL24A1,0.0689,-11.8
GBP1,0.051,-14.34
GBP2,0.0596,22.93
AC104459.1,0.0654,25.92
AL627316.1,0.0538,-47.78
