donor,cps,MCT4,PTGDS_a,MCT4_m,ANLS,VATP_a10,VATP_n6,VATP_n10,LAMP1_n,LDHB_n,gm_a,gm_n,ncell_a,ncell_n,ACTB_a,ACTB_n,B2M_a,B2M_n,GAPDH_a,GAPDH_n,GUSB_a,GUSB_n,HPRT1_a,HPRT1_n,PGK1_a,PGK1_n,POLR2A_a,POLR2A_n,PPIA_a,PPIA_n,RPL13A_a,RPL13A_n,RPLP0_a,RPLP0_n,SDHA_a,SDHA_n,TBP_a,TBP_n,UBC_a,UBC_n,YWHAZ_a,YWHAZ_n
H19.33.004,0.302312776,0.0442388764192426,1.80798353843794,0.200830385575642,0.110145986426269,0.310914488277725,0.511069220588487,0.535497663985426,0.21017416898894,0.308508929518256,0.102348672479248,0.116376879344087,2368,15088,0.394107355157266,0.840051995330586,0.097522127215524,0.0426368485261663,0.700815308266445,0.750431570697532,0.0876083832196388,0.0883802874621166,0.171426476514269,0.964236093047031,0.433906817129134,0.349095003701616,0.15280815059747,0.245384541255731,0.1705520809691,0.502782692246372,0.168661276671431,0.232956326089865,0.0644137539359666,0.101006541665335,0.219808087759727,0.28014938797938,0.0558005488301451,0.063208734534665,0.830227456338754,0.536317004062717,0.346513326506357,1.03046541367603
H20.33.001,0.522888828,0.0270944863300899,2.1351665100147,0.21227057893679,0.0809997203620686,0.274948786580614,0.414863506954436,0.447119479201595,0.175107891881121,0.200240722652953,0.106582159932698,0.118399067536354,1160,12303,0.483686475584219,0.62326687835275,0.158760232581147,0.0289526046579624,0.437571384988982,0.293642326316184,0.084031268735898,0.112551593029525,0.148130626308507,0.81841908434896,0.178515377422345,0.202308889199571,0.302377632157556,0.207921019874832,0.144949337274864,0.308896752147486,0.124945810578507,0.129018090830667,0.0700115731435603,0.0648285345410023,0.241964007695687,0.275249239035501,0.0862598967834793,0.0838362858347982,0.409637927752117,0.195153145148162,0.337404601892521,1.03033868516111
H20.33.002,0.206549371,0.063251301421592,1.48248710294864,0.315373559811301,0.080926976686147,0.261673134757546,0.390456397021531,0.433180508051737,0.16642083314143,0.191293641748329,0.1054270948422,0.117157862909622,597,12092,0.348902227091829,0.449680661789708,0.209229232178661,0.0245711036141083,0.390912051850827,0.240565346968596,0.0776063319626366,0.11478825437544,0.122225318896511,0.684544845795665,0.199444601109479,0.220307418519555,0.209254938503805,0.165690329989336,0.109989863519293,0.264687967949106,0.187617409169374,0.14509398637175,0.109915303699735,0.0654140507467794,0.233114280667736,0.275008268873699,0.0827340363857135,0.0997652707629465,0.393260436715992,0.143511145924974,0.348358471314711,0.957002662164148
H20.33.004,0.725005699,0.0470825119046219,1.70686600190678,0.284355336056672,0.0610512400572562,0.271518841348117,0.474328274252096,0.483932190139782,0.188671690726058,0.259424724049025,0.106681615482121,0.121769751834916,948,12580,0.491412880865833,0.813118295232056,0.529307572744818,0.54972937648882,0.523665066368343,0.413227086167765,0.0836413920177186,0.125589005476743,0.126691548758921,0.669298385507138,0.195829674853051,0.287109690441177,0.17445043760513,0.185932671205572,0.185049468392058,0.450639911895301,0.173245767705174,0.212242692097761,0.0735656406243139,0.0923398999737158,0.245703011311056,0.281520430139297,0.0937586331795037,0.113850645435491,0.297414861195072,0.241719548260002,0.370433368386096,1.03645848288469
H20.33.005,0.760780881,0.00875768282529257,1.54964029585412,0.11606088104172,0.0571947760803129,0.300166495238195,0.37827094700562,0.406046303788503,0.16689473730895,0.211437781631432,0.10274653219331,0.111041480590869,1874,16144,0.224492182321012,0.391860438437396,0.0793499934985009,0.0234731916560652,0.253460886479696,0.300406336227092,0.0620101872620868,0.0729770303054965,0.229892330544354,0.942907794763134,0.211117093168048,0.242400336276133,0.10872279901133,0.164916718722486,0.113036484536074,0.195786443958936,0.0969262016795997,0.110408314157368,0.0482967586565679,0.05352267079107,0.221911779828489,0.252432278963867,0.0577010048618948,0.0594549752800468,0.359745520219732,0.256346552651209,0.386781293282578,0.858899064459889
H20.33.008,0.753887834,0.0285958806405196,1.22168714831004,0.163191583619189,0.0709022191730706,0.282958269771692,0.316076253460473,0.34884062211962,0.111402057232455,0.148354292859212,0.103035567428136,0.111606379032809,370,7531,0.455746812755997,0.308926043749774,0.167451141895475,0.0257382556813882,0.365063613894823,0.136829979904219,0.0702054265785862,0.0903121404460608,0.135879313784677,0.683194398611899,0.146289283923201,0.189150828216188,0.0930007757367314,0.145771318945458,0.122406122168979,0.131751443499699,0.147550447405996,0.0961721808444439,0.059097621932223,0.0399858984166749,0.221623316648844,0.275657776999903,0.0880881569272763,0.0950908851184672,0.213436462025385,0.0984596350298169,0.371192452915617,0.707700770204364
H20.33.011,0.810864943,0.0395962873386347,1.69028868883956,0.2283847641236,0.0861347315050706,0.31112159763594,0.487032227061227,0.492384993139216,0.209019712089365,0.207342468934786,0.109402275240675,0.120270552568923,1108,9203,0.394712057193264,0.753959620221081,0.130442862113138,0.0313898995887044,0.46273294668174,0.38046296250622,0.100168598661139,0.13927073092504,0.119331275916487,0.669477530787182,0.222307800305234,0.245010970016462,0.252572177872331,0.21728998144329,0.140114533408992,0.390630724341872,0.136618381090435,0.166813737573451,0.077269992001005,0.0848643119305965,0.254551251012065,0.301804054623196,0.0992322836192291,0.103398853981966,0.278250186169513,0.265126897905179,0.330235281670029,0.945720468439817
H20.33.012,0.237009997,0.0100319215402491,1.82915979795938,0.171801172370134,0.0579236497123032,0.291208758864162,0.413194611319845,0.424611133648292,0.179820694278663,0.161210210952152,0.105103813649194,0.115623277085196,1108,10399,0.290607226992342,0.486579369197976,0.0691263633595262,0.0189343051085198,0.383479966664357,0.317920396579296,0.0829806176387446,0.111839783751316,0.156066943228998,0.782626452319398,0.1682159939801,0.209737488302658,0.19082746633231,0.217746790814101,0.0994094445467641,0.245779935253711,0.0819812425368529,0.102569542581622,0.0477645225177388,0.0538067516007181,0.237718034818069,0.24391429812391,0.0764264921096258,0.0725549612721264,0.26244543410757,0.195413028344359,0.3154527651489,0.919638021400495
H20.33.013,0.847210162,0.0272001174551652,1.73621343625219,0.201024497156247,0.0852230588174927,0.306417440296732,0.478749806379676,0.499406967583834,0.198177759773943,0.277657559853614,0.105420384088567,0.123408153031215,1064,10918,0.465544038725303,0.610072461327251,0.147792925974144,0.0280288056920675,0.563681261375883,0.400924294910278,0.0994727336626528,0.137243620798819,0.134335703979758,0.714958609736409,0.18861447358714,0.27469281632099,0.158792166375464,0.213760641546974,0.160444387661895,0.384113681051395,0.235147829832775,0.261315298556905,0.11188815188195,0.100644306673983,0.247080968482826,0.308054850885604,0.0917724644471156,0.109586026976071,0.339337283045166,0.208166094436112,0.333775778798232,1.00245372577205
H20.33.014,0.678277043,0.0524144132520251,1.97515288937277,0.175983663662425,0.0760410182525457,0.276982280704642,0.505749523554668,0.50958460635651,0.246257165377092,0.275852513483834,0.100716979677329,0.123490084061886,193,12438,0.609386040293491,0.649933666357129,0.134491107315597,0.0475912425447807,0.848967998911062,0.486308554046947,0.0829581639927286,0.172247119102652,0.101398968171579,0.645544703386713,0.180987861335586,0.264124956511501,0.212245739648997,0.206368083693476,0.172851698386237,0.407273293728757,0.270381546082274,0.319374982861844,0.11849562275595,0.123262054987598,0.262563368044987,0.31537145469772,0.105468449351701,0.124883887516001,0.612796157752912,0.258651137537086,0.443591014400047,1.04899864394741
