spec,published_r,observed_r,n,k,df_published,df_correct,p_published_recomputed,p_corrected,p_in_submitted_version,flag
zero MCT4-VATP,0.517,0.5167,84,0,82,82,4.86e-07,4.86e-07,4.86e-07,
zero MCT4-LAMP1,0.549,0.5492,84,0,82,82,6.3e-08,6.3e-08,6.3e-08,
zero MCT4-LDHB,0.427,0.4274,84,0,82,82,5.02e-05,5.02e-05,5.02e-05,
CPS  MCT4-VATP,0.474,0.4745,84,1,82,81,5.13e-06,5.86e-06,5.13e-06,
CPS  MCT4-LAMP1,0.501,0.5011,84,1,82,81,1.21e-06,1.4e-06,1.21e-06,
CPS  MCT4-LDHB,0.418,0.418,84,1,82,81,7.62e-05,8.44e-05,7.62e-05,
CPS  ANLS-VATP,0.339,0.3395,84,1,82,81,0.00158,0.00169,0.00158,
CPS  ANLS-MCT4,0.435,0.4351,84,1,82,81,3.54e-05,3.95e-05,NA,
GW   MCT4-VATP,0.23,0.2324,84,3,82,79,0.0334,0.0368,0.04,
GW   MCT4-LAMP1,0.31,0.3095,84,3,82,79,0.00417,0.00493,0.004,
GW   MCT4-LDHB,0.16,0.1613,84,3,82,79,0.143,0.15,0.14,
CPS>=0.2 MCT4-VATP,0.461,0.4614,80,1,78,77,1.65e-05,1.87e-05,1.7e-05,
CPS>=0.3 MCT4-VATP,0.479,0.4794,71,1,69,68,2.34e-05,2.68e-05,2.3e-05,
own-gm  MCT4-VATP,0.281,0.2813,84,3,82,79,0.00954,0.011,0.0095,
own-gm>=0.15,NA,0.2494,83,3,81,78,0.023,0.0257,NA,
own-gm>=0.2,0.261,0.261,80,3,78,75,0.0193,0.0218,0.019,
own-gm>=0.3,0.271,0.2712,71,3,69,66,0.0222,0.0253,0.022,
